Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Cladosporiaceae|Toxicocladosporium	0	0	0	2.34105470675209	0	0.0677673730901922	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0	0	0	0.00616067028092657	0	0.00616067028092657	0	0	0.0123213405618531
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Dissoconiaceae|Uwebraunia	0	0	0	0.043124691966486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Neodevriesiaceae|Neodevriesia	0.0800887136520453	0.043124691966486	0.0246426811237063	0.480532281912272	0.0246426811237063	1.05347461803844	0.0184820108427797	0	0.00616067028092657	0.0246426811237063	0	0.0184820108427797	0	0.00616067028092657	0	0.00616067028092657	0	0.0123213405618531	0.00616067028092657	0.0184820108427797	0.0123213405618531	0.0800887136520453	0.00616067028092657	0.00616067028092657	0.0123213405618531	0.0308033514046328	0.0123213405618531
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Neodevriesiaceae|Neodevriesiaceae_gen_Incertae_sedis	0.00616067028092657	0.123213405618531	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Xenodevriesiaceae|Xenodevriesia	0	0	0	0.00616067028092657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0.00616067028092657	0.0308033514046328
Fungi|Ascomycota|Dothideomycetes|Dothideales|Dothideaceae|Endoconidioma	0	0.00616067028092657	0	0	0	0.0554460325283391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Dothideales|Saccotheciaceae|Aureobasidium	0.135534746180384	0.0246426811237063	0.0616067028092657	0.277230162641695	0.0184820108427797	0.104731394775752	0	0	0	0	0.00616067028092657	0.0246426811237063	0	0.00616067028092657	0	0.0246426811237063	0.0123213405618531	0.00616067028092657	0.00616067028092657	0	0.0123213405618531	0	0	0	0	0.0123213405618531	0.00616067028092657
Fungi|Ascomycota|Dothideomycetes|Dothideomycetes_ord_Incertae_sedis|Dothideomycetes_fam_Incertae_sedis|Austropleospora	0.0492853622474125	0	0.043124691966486	0.166338097585017	0.0246426811237063	0.117052735337605	0.0800887136520453	0.0246426811237063	0.0308033514046328	0.0677673730901922	0.166338097585017	0.0554460325283391	0.00616067028092657	0.00616067028092657	0	0.0184820108427797	0	0.0123213405618531	0	0.00616067028092657	0.00616067028092657	0.0123213405618531	0.0308033514046328	0.0184820108427797	0	0	0.00616067028092657
Fungi|Ascomycota|Dothideomycetes|Dothideomycetes_ord_Incertae_sedis|Dothideomycetes_fam_Incertae_sedis|Dothideomycetes_gen_Incertae_sedis	0.154016757023164	0.301872843765402	0.264908822079842	0.689995071463775	0.117052735337605	0.221784130113356	0	0	0.00616067028092657	0.00616067028092657	0.240266140956136	0.00616067028092657	0.289551503203549	2.08230655495318	0.141695416461311	0.0554460325283391	0.0369640216855594	0.0492853622474125	0.0308033514046328	0.0739280433711188	0.0246426811237063	0.21562345983243	0.00616067028092657	0.0308033514046328	0.098570724494825	0.098570724494825	0.043124691966486
Fungi|Ascomycota|Dothideomycetes|Hysteriales|Hysteriaceae|Rhytidhysteron	0.135534746180384	0.0123213405618531	0.0369640216855594	0	0	0.135534746180384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123213405618531	0.00616067028092657	0.0184820108427797	0	0.00616067028092657	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Extremaceae|Extremaceae_gen_Incertae_sedis	0.0123213405618531	0.0246426811237063	0.0677673730901922	0	0.0123213405618531	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0369640216855594	0.0369640216855594	0	0.474371611631346	0	0	0.0924100542138985	0.0492853622474125	0.0924100542138985
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Extremaceae|Saxophila	0.443568260226713	0.264908822079842	0.172498767865944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141695416461311	0.154016757023164	0.0308033514046328	0.702316412025628	0.17865943814687	0.0616067028092656	0.21562345983243	0.0862493839329719	0.0369640216855594
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Extremaceae|unassigned	0.0800887136520453	0.0123213405618531	0.0184820108427797	0	0	0	0	0	0	0.0308033514046328	0.129374075899458	0.00616067028092657	0	0	0.0184820108427797	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0.0123213405618531
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Acrodontium	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0.00616067028092657	0	0	0	0	0	0.00616067028092657	0	0	0	1.42927550517496	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Cercospora	0.0123213405618531	0	0.00616067028092657	0.098570724494825	0.0184820108427797	0.19714144898965	0	0.00616067028092657	0.00616067028092657	0.00616067028092657	0	0.00616067028092657	0	0.0184820108427797	0	0	0	0.00616067028092657	0	0	0	0.0492853622474125	0	0	0	0.00616067028092657	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Dothistroma	0.0123213405618531	0.0246426811237063	0.00616067028092657	0.82552981764416	0.00616067028092657	0.289551503203549	0	0	0.00616067028092657	0.00616067028092657	0.00616067028092657	0.00616067028092657	0	0.043124691966486	0.00616067028092657	0.0800887136520453	0.0123213405618531	0.0123213405618531	0.0123213405618531	0	0	0.00616067028092657	0	0.00616067028092657	0.0184820108427797	0	0.043124691966486
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Mycosphaerella	0.00616067028092657	0	0	0.00616067028092657	0.0184820108427797	0.00616067028092657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Mycosphaerellaceae_gen_Incertae_sedis	0.0369640216855594	0.00616067028092657	0.0123213405618531	0.745441103992114	0.0123213405618531	0.462050271069492	0	0.00616067028092657	0	0	0	0.00616067028092657	0	0.0308033514046328	0.0184820108427797	0.0492853622474125	0	0.00616067028092657	0.00616067028092657	0	0.00616067028092657	0.0184820108427797	0	0	0.00616067028092657	0.00616067028092657	0.00616067028092657
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Pallidocercospora	0.00616067028092657	0.00616067028092657	0	0.0369640216855594	0	0.0677673730901922	0.00616067028092657	0.00616067028092657	0.00616067028092657	0	0	0.00616067028092657	0	0.00616067028092657	0.00616067028092657	0	0.00616067028092657	0	0.00616067028092657	0	0	0.00616067028092657	0	0.00616067028092657	0	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Paramycosphaerella	0	0	0	0.0739280433711188	0	0.00616067028092657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Pseudocercospora	0.0123213405618531	0.0123213405618531	0.00616067028092657	0.147856086742238	0.0492853622474125	0.0123213405618531	0.00616067028092657	0.0184820108427797	0	0	0	0.0123213405618531	0	0.0246426811237063	0.0308033514046328	0.0123213405618531	0.00616067028092657	0	0.00616067028092657	0	0	0.0123213405618531	0	0	0.0184820108427797	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Ramularia	0	0	0	0.043124691966486	0.00616067028092657	0.0924100542138985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Septoria	0	0.00616067028092657	0.0246426811237063	2.63060620995564	0.0616067028092656	2.19319862000986	0	0.00616067028092657	0	0.00616067028092657	0	0.00616067028092657	0	0	0.00616067028092657	0.0554460325283391	0	0.0677673730901922	0	0	0	0	0.00616067028092657	0.00616067028092657	0	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Sphaerulina	0	0	0	0.0369640216855594	0	0.104731394775752	0	0	0	0	0	0	0	0	0	0.0184820108427797	0	0	0	0	0	0.00616067028092657	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Zasmidium	0.0123213405618531	0.0308033514046328	0.043124691966486	0	0	0	0	0	0	0	0	0	0	0.0246426811237063	0.505174963035978	0	0	0.104731394775752	0.653031049778216	0.123213405618531	0.0616067028092657	0	0	0	0.172498767865944	0.0184820108427797	0.844011828486939
