Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1395	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucariaceae_gen_Incertae_sedis	Verrucariaceae_sp
ASV_1396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp
ASV_1397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophoraceae_gen_Incertae_sedis	Cyphellophoraceae_sp
ASV_1398	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium_sp
ASV_1399	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria_macrostoma
ASV_14	4	69	3	2280	84	730	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	25	4	7	1	7	31	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_halotolerans
ASV_140	130	30	90	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp
ASV_1400	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidales_fam_Incertae_sedis	Rhizophlyctidales_gen_Incertae_sedis	Rhizophlyctidales_sp
ASV_1401	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Herpotrichiellaceae_gen_Incertae_sedis	Herpotrichiellaceae_sp
ASV_1402	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Phialocephala	Phialocephala_fluminis
ASV_1403	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1404	2	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp
ASV_1405	8	0	1	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1406	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora_sp
ASV_1407	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Mycosphaerellaceae_gen_Incertae_sedis	Mycosphaerellaceae_sp
ASV_1408	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp
ASV_1409	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Anthracina	Anthracina_ramosa
ASV_141	1	1	0	14	144	1	22	15	0	6	5	9	0	0	0	0	0	0	0	0	0	3	5	6	0	0	7	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1410	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella_ocimicola
ASV_1411	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1412	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Trichomerium	Trichomerium_dioscoreae
ASV_1413	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	Helotiales_sp
ASV_1414	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella_oligotrophica
ASV_1415	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	Helotiales_sp
ASV_1416	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellales_fam_Incertae_sedis	Phaeomoniellales_gen_Incertae_sedis	Phaeomoniellales_sp
ASV_1417	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	Pseudorobillarda_sojae
ASV_1418	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	Hypocreales_sp
ASV_1419	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	Hypocreales_sp
ASV_142	0	0	0	0	0	0	0	0	0	0	0	0	3	12	117	736	261	1	1	0	0	0	0	0	1	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Brycekendrickomyces	Brycekendrickomyces_acaciae
ASV_1420	0	0	0	0	0	0	7	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella_sp
ASV_1421	0	0	0	0	0	0	4	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella_sp
ASV_1422	0	1	0	0	0	0	4	3	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_commune
ASV_1423	0	0	0	0	0	0	1	7	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1424	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1425	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Catapyrenium	Catapyrenium_sp
ASV_1426	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria_sp
ASV_1427	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium_sp
ASV_1428	0	0	0	0	0	0	0	1	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	unassigned	unassigned
ASV_1429	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Rhinocladiella_sp
ASV_143	180	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1430	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	unassigned
ASV_1431	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	unassigned
ASV_1432	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unassigned	unassigned
ASV_1433	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	unassigned
ASV_1434	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unassigned	unassigned	unassigned
ASV_1435	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp
ASV_1436	0	0	0	0	0	0	1	0	1	0	1	0	0	4	0	26	6	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Lecanoromycetes	Leprocaulales	Leprocaulaceae	Leprocaulon	Leprocaulon_nicholsiae
ASV_1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Stereocaulaceae	Lepraria	Lepraria_finkii
ASV_1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	1	2	0	0	0	Fungi	Ascomycota	Lecanoromycetes	Leprocaulales	Leprocaulaceae	Leprocaulon	Leprocaulon_nicholsiae
ASV_144	1	0	0	0	0	0	0	0	0	0	0	0	134	17	386	0	1	0	3	0	0	0	0	0	1	0	187	Fungi	Ascomycota	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	Bionectriaceae_sp
ASV_1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	4	5	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp
ASV_1443	4	0	1	0	0	0	0	1	1	2	0	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1444	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Fuscostagonosporaceae	Fuscostagonospora	Fuscostagonospora_banksiae
ASV_1445	7	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Trimorphomycetaceae_gen_Incertae_sedis	Trimorphomycetaceae_sp
ASV_1446	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_sp
ASV_1447	2	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp
ASV_1448	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetales_fam_Incertae_sedis	Spizellomycetales_gen_Incertae_sedis	Spizellomycetales_sp
ASV_1449	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_145	2	3	11	0	147	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1450	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1451	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_tenuissimum
ASV_1452	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1453	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1454	2	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_echinochloae
ASV_1455	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1456	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_saccharicola
ASV_1457	0	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Herpotrichiellaceae_gen_Incertae_sedis	Herpotrichiellaceae_sp
ASV_1458	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetales_fam_Incertae_sedis	Spizellomycetales_gen_Incertae_sedis	Spizellomycetales_sp
ASV_1459	2	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_sp
ASV_146	92	5	3	2	1	72	0	0	0	0	0	0	26	0	11	4	0	9	1	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1460	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Xylariales_gen_Incertae_sedis	Xylariales_sp
ASV_1461	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Microstromatales_fam_Incertae_sedis	Jaminaea	Jaminaea_sp
ASV_1462	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma_sp
ASV_1463	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	Neosetophoma_rosigena
ASV_1464	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp
ASV_1465	0	0	0	0	1	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Nigrogranaceae	Nigrograna	Nigrograna_mackinnonii
ASV_1466	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia_nigricans
ASV_1467	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces_pseudodichotomus
ASV_1468	0	0	0	0	0	0	6	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1469	0	0	0	0	0	0	6	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_147	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucariaceae_gen_Incertae_sedis	Verrucariaceae_sp
ASV_1470	0	1	0	0	0	0	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	unassigned
ASV_1471	0	0	0	0	0	0	8	5	1	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1472	1	0	0	0	0	0	3	2	1	4	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1473	0	0	0	0	0	0	0	2	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	unassigned	unassigned
ASV_1474	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria_sp
ASV_1475	0	0	0	0	0	0	2	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1476	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_terricola
ASV_1477	1	1	0	0	0	0	1	0	0	2	1	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	Paraphaeosphaeria_sporulosa
ASV_1478	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Capnodiales_gen_Incertae_sedis	Capnodiales_sp
ASV_1479	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	2	0	0	0	0	0	0	0	0	0	3	Fungi	Ascomycota	Arthoniomycetes	Arthoniales	Opegraphaceae	Opegrapha	Opegrapha_sp
ASV_148	15	5	20	0	2	2	11	32	112	15	147	10	0	1	1	5	0	0	3	0	0	3	2	2	17	3	82	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1480	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	26	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Capnodiales_gen_Incertae_sedis	Capnodiales_sp
ASV_1481	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	7	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1482	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Capnodiales_gen_Incertae_sedis	Capnodiales_sp
ASV_1483	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	40	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	Hypocreales_sp
ASV_1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	unassigned	unassigned
ASV_1485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia_sp
ASV_1486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	5	1	2	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zasmidium	Zasmidium_cellare
ASV_1487	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	2	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unassigned	unassigned	unassigned
ASV_1488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pterulaceae	Coronicium	Coronicium_sp
ASV_1489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria_sp
ASV_149	5	4	3	102	0	54	1	2	0	1	1	1	1	0	2	3	0	0	1	1	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum_parvum
ASV_1490	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_camptosporum
ASV_1491	0	1	0	0	0	0	1	1	0	0	1	2	4	1	0	0	1	0	0	0	0	3	0	1	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora_fusarioides
ASV_1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella_lichenicola
ASV_1494	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1495	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_sp
ASV_1496	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Capnodiales_gen_Incertae_sedis	Capnodiales_sp
ASV_1497	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	1	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Fimicolochytrium	Fimicolochytrium_sp
ASV_1498	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	Bionectriaceae_sp
