Phylum	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Fungi|Aphelidiomycota	0.0123213405618531	0.0184820108427797	0.0554460325283391	0.0184820108427797	0.043124691966486	0.0246426811237063	0.0616067028092656	0.0184820108427797	0.00616067028092657	0.0184820108427797	0.00616067028092657	0.0246426811237063	0	0	0	0	0	0	0.0616067028092656	0.0862493839329719	0.0123213405618531	0.0246426811237063	0.0123213405618531	0.0184820108427797	0.0123213405618531	0.0308033514046328	0.0246426811237063
Fungi|Ascomycota	63.6274026614096	70.7121734844751	54.0352390340069	91.5044356826023	96.5931493346476	90.7466732380483	67.2437161163135	73.0655495317891	91.3442582552982	76.004189255791	85.2513553474618	68.2971907343519	91.6399704287827	83.8775258748152	81.8568260226713	79.3987185805816	82.0416461310991	96.4206505667817	96.0078856579596	95.5704780680138	98.151798915722	93.8393297190734	97.3693937900444	98.0347461803844	89.8965007392804	59.8016264169542	83.9822572695909
Fungi|Basidiomycota	0.184820108427797	0.110892065056678	0.117052735337605	1.761951700345	0.209462789551503	1.11508132084771	0.117052735337605	0.172498767865944	0.0862493839329719	0.234105470675209	0.0677673730901922	0.172498767865944	2.08846722523411	8.58797437161163	1.5771315919172	3.54238541153277	1.9714144898965	1.2752587481518	0.523656973878758	0.388122227698374	0.301872843765402	3.31444061113849	0.117052735337605	0.338836865450961	0.203302119270577	24.919911286348	0.671513060620996
Fungi|Chytridiomycota	1.02267126663381	0.887136520453425	0.566781665845244	4.10300640709709	0.203302119270577	1.10275998028585	0.0123213405618531	0	0.00616067028092657	0.00616067028092657	0.0123213405618531	0	0	0.0123213405618531	0	0.0123213405618531	0.0492853622474125	0.0369640216855594	0.0554460325283391	0.0246426811237063	0.0492853622474125	0.0492853622474125	0.117052735337605	0.0616067028092656	0.104731394775752	0.00616067028092657	0.0800887136520453
Fungi|Fungi_phy_Incertae_sedis	0.363479546574667	0.344997535731888	0.172498767865944	1.31222276983736	0.0800887136520454	0.141695416461311	0.0308033514046328	0.043124691966486	0	0.00616067028092657	0.0369640216855594	0.258748151798916	1.01034992607196	1.05963528831937	1.29990142927551	0.227944800394283	4.59586002957122	1.03499260719566	1.35534746180384	1.01651059635288	0.529817644159685	0.314194184327255	0.190980778708724	0.0739280433711188	5.5199605717102	3.7580088713652	9.96796451453918
Fungi|Mortierellomycota	0	0	0	0.104731394775752	0	0	0	0	0	0	0	0	3.83193691473632	0	0	0	0.0123213405618531	0	0	0	0	0.00616067028092657	0.499014292755052	0.00616067028092657	0	0	0
Fungi|Rozellomycota	0	0.00616067028092657	0	0.117052735337605	0	0.00616067028092657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|unassigned	0.0308033514046328	0	0.0308033514046328	0	0	0.00616067028092657	0.00616067028092657	0	0	0.00616067028092657	0	0.0123213405618531	0	0.00616067028092657	0.00616067028092657	0.00616067028092657	0	0.00616067028092657	0.258748151798916	0.00616067028092657	0	0.00616067028092657	0.043124691966486	0	0	0.0123213405618531	0.0308033514046328
unassigned|unassigned	34.7585017249877	27.9201577131592	45.0221784130113	1.07811729916215	2.87087235091178	6.85682602267127	32.5283390832923	26.7003449975357	8.557171020207	23.7247412518482	14.6254312469197	31.2345983242977	1.42927550517496	6.45638245441104	15.2599802858551	16.8124691966486	11.329472646624	1.22597338590439	1.73730901922129	2.90783637259734	0.954903893543617	2.44578610152785	1.65105963528832	1.46623952686052	4.26318383440118	11.4711680630853	5.24273040906851
