	QiY201	QiY202	QiY204	QiY205	QiY206	taxonomy
0d1a9855ea70198669db9b907e3b866f	1737	165	98	0	0	k__Viridiplantae;p__Chlorophyta;c__Ulvophyceae;o__Ulvophyceae_ord_Incertae_sedis;f__Ulvophyceae_fam_Incertae_sedis;g__Desmochloris;s__Desmochloris_sp
fd9c93c4c75b00cd2995dfd09d432205	2	2	22	9	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Verrucaria;s__Verrucaria_sp
17a408bee5f582ce11e74999fd751dda	0	0	0	0	12	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Ramalinaceae;g__Bacidia;s__Bacidia_friesiana
f0974d01568e188f3ff968f59a9850a4	0	1	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_sp
a1e0500ad517da98b9e88e6e30100791	522	0	0	0	904	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales
134aab233c8542e8b71913bb1c770400	0	0	2262	3	0	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Chlorococcum;s__Chlorococcum_oleofaciens
9746a915a12457eb6aa54f16996015a4	4	7	0	0	0	k__Alveolata;p__Ciliophora;c__Oligohymenophorea;o__Oligohymenophorea_ord_Incertae_sedis;f__Epistylidae;g__Epistylis;s__Epistylis_sp
6a89262f7ad4e36b39b70d1b847febd5	3	8	0	0	0	k__Fungi;p__Ascomycota
ae5a8156eaf0c9294ebacf2e1e0c7d79	1782	0	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolaceae;g__Stichococcus;s__Stichococcus_bacillaris
8f494d0053e48501ab5f4191e331b683	0	23	49	0	23	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
70d185531b0708c718035166db1abf7d	0	0	0	0	1125	k__Fungi;p__Ascomycota;c__Sordariomycetes
cd76816ce87921a46f4579e1f27e33ec	0	15	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Aschersonia;s__Aschersonia_sp
e8f615cf4852c824d0879eb305a62868	0	0	27	0	129	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Cephalobidae;g__Acrobeloides;s__Acrobeloides_nanus
91e6a7a17269bed9dad2b43987a39b5d	0	6	0	0	0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales
7167f97bfbdd7c1e0240506b96a208a4	7	14	8	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_camptosporum
e21b76a9c8e308d6e0194efa6f112372	0	0	0	0	11	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia;s__Devriesia_strelitziicola
e07de0282cea178723f6923df9e3b2c4	0	0	0	0	7	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Leprocaulales;f__Leprocaulaceae;g__Leprocaulon;s__Leprocaulon_sp
ce2c621b89441d810097cd7b0f576c9f	1	0	0	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
6cd929b3c42690af578cd536fa0ae452	177	61	0	39	13	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
15c9d85965cdacdeedc07a227a725e34	0	0	0	0	802	k__Alveolata;p__Ciliophora;c__Phyllopharyngea;o__Cyrtophorida
