Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Bacteria|Planctomycetota|Planctomycetes|Isosphaerales|Isosphaeraceae|Singulisphaera	0	0.014682131845544	0	0	0	0.0293642636910879	0.00734106592277199	0.014682131845544	0	0.014682131845544	0.00734106592277199	0	0	0	0	0	0	0	0.00734106592277199	0	0	0	0	0	0	0	0
Bacteria|Planctomycetota|Planctomycetes|Isosphaerales|Isosphaeraceae|Tundrisphaera	0.227573043605932	0.154162384378212	0.227573043605932	0.00734106592277199	0.0660695933049479	0.14682131845544	0.0660695933049479	0.022023197768316	0.0293642636910879	0.014682131845544	0.0513874614594039	0.014682131845544	0	0	0	0	0	0	0.308324768756423	0.22023197768316	0.433122889443547	0.00734106592277199	0.0440463955366319	0.00734106592277199	0.168844516223756	0.176185582146528	0.190867713992072
Bacteria|Planctomycetota|Planctomycetes|Isosphaerales|Isosphaeraceae|uncultured	0.323006900601967	0.367053296138599	0.440463955366319	0.271619439142563	0.844222581118778	0.741447658199971	0.227573043605932	0.168844516223756	0.176185582146528	0.190867713992072	0.278960505065335	0.161503450300984	0	0	0	0	0	0	0.543238878285127	0.323006900601967	0.249596241374248	0.0293642636910879	0.022023197768316	0.102774922918808	0.205549845837616	0.168844516223756	0.0440463955366319
Bacteria|Planctomycetota|Planctomycetes|Isosphaerales|Isosphaeraceae|unknown	0	0	0.00734106592277199	0	0.0367053296138599	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0734106592277199	0	0.0734106592277199	0	0	0	0.014682131845544	0.0587285273821759	0.00734106592277199
Bacteria|Planctomycetota|Planctomycetes|Pirellulales|Pirellulaceae|Pir4_lineage	0.0513874614594039	0	0.014682131845544	0.022023197768316	0.0440463955366319	0.0880927910732638	0.00734106592277199	0.014682131845544	0.0440463955366319	0.00734106592277199	0.00734106592277199	0.0440463955366319	0	0	0	0	0	0	0.022023197768316	0.022023197768316	0	0.00734106592277199	0.014682131845544	0	0.0440463955366319	0	0
Bacteria|Planctomycetota|Planctomycetes|Pirellulales|Pirellulaceae|Pirellula	0	0	0	0.022023197768316	0	0.0293642636910879	0	0.014682131845544	0	0	0.00734106592277199	0	0	0	0	0	0	0	0.0513874614594039	0	0.00734106592277199	0.0440463955366319	0.014682131845544	0	0	0.022023197768316	0.014682131845544
Bacteria|Planctomycetota|Planctomycetes|Pirellulales|Pirellulaceae|Rhodopirellula	0.198208779914844	0.0880927910732638	0.0513874614594039	0.0807517251504919	0.014682131845544	0.014682131845544	0	0	0.022023197768316	0.014682131845544	0	0.014682131845544	0	0	0	0	0	0	0.0807517251504919	0.0660695933049479	0.00734106592277199	0.014682131845544	0.00734106592277199	0	0.124798120687124	0.00734106592277199	0.0880927910732638
Bacteria|Planctomycetota|Planctomycetes|Pirellulales|Pirellulaceae|uncultured	1.43884892086331	0.168844516223756	0.726765526354427	2.14359124944942	0.124798120687124	1.59301130524152	0.11011598884158	0.0293642636910879	0.014682131845544	0.0660695933049479	0.11011598884158	0.0880927910732638	0	0	0	0	0	0	0.0954338569960358	0.168844516223756	0.022023197768316	0.0807517251504919	0.0367053296138599	0.00734106592277199	0.25693730729702	0.022023197768316	0.102774922918808
Bacteria|Planctomycetota|Planctomycetes|Planctomycetales|Rubinisphaeraceae|SH-PL14	0	0	0	0	0	0	0	0.00734106592277199	0	0	0	0.0293642636910879	0	0	0	0	0	0	0.00734106592277199	0	0	0	0.0513874614594039	0.014682131845544	0	0.00734106592277199	0
Bacteria|Planctomycetota|Planctomycetes|Planctomycetales|uncultured|uncultured	0.132139186609896	0.022023197768316	0.117457054764352	0.477169284980179	0.352371164293055	0.719424460431655	0	0.0513874614594039	0	0	0.014682131845544	0.102774922918808	0	0	0	0	0	0	0.0293642636910879	0.14682131845544	0	0.014682131845544	0.022023197768316	0.00734106592277199	0.0954338569960358	0	0.0587285273821759
Bacteria|Planctomycetota|Planctomycetes|uncultured|uncultured|uncultured	0	0	0	0	0	0	0.0293642636910879	0	0	0.00734106592277199	0	0	0	0	0	0	0	0	0	0	0	0.00734106592277199	0	0.022023197768316	0	0	0
Bacteria|Planctomycetota|vadinHA49|vadinHA49|vadinHA49|vadinHA49	0.014682131845544	0.0807517251504919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337689032447511	0.022023197768316	0.0440463955366319	0.022023197768316	0.014682131845544	0.0293642636910879	0.00734106592277199	0.0367053296138599	0.00734106592277199
Bacteria|Proteobacteria|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Acetobacter	0	0	0	0.014682131845544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014682131845544
Bacteria|Proteobacteria|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Acetobacteraceae	0	0	0	0	0	0	0	0.00734106592277199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022023197768316	0.022023197768316	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Acidicaldus	0	0.00734106592277199	0.0293642636910879	0	0	0	0	0	0	0	0	0	0.528556746439583	0.00734106592277199	0	0	0	0	0	0	0	0	0	0	0	0	0.00734106592277199
Bacteria|Proteobacteria|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Acidiphilium	0	0.0293642636910879	0	0	0	0	0.0734106592277199	0.117457054764352	0.11011598884158	0.0660695933049479	0.0587285273821759	0.117457054764352	0	0.022023197768316	0.139480252532668	0.00734106592277199	0.014682131845544	0.308324768756423	1.72515049185142	1.13052415210689	0.0807517251504919	0	0.0293642636910879	0.014682131845544	0.337689032447511	0.0954338569960358	0.447805021289091
Bacteria|Proteobacteria|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Acidisoma	0	0	0	0	0	0	0	0	0	0	0	0	1.7545147555425	0.0660695933049479	0.535897812362355	0	0.0293642636910879	0	0.0293642636910879	0	0.00734106592277199	0.00734106592277199	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Belnapia	0	0.00734106592277199	0	0	0	0	0.014682131845544	0.00734106592277199	0	0	0.00734106592277199	0.00734106592277199	0	0	0.212890911760388	0	0.00734106592277199	0.0954338569960358	0.0954338569960358	0.212890911760388	0.359712230215827	0.0293642636910879	0.022023197768316	0.014682131845544	0.176185582146528	0.0440463955366319	0.278960505065335
