Phylum	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Bacteria|Abditibacteriota	0.460001437504492	0.1868755839862	0.409688780277438	0.00718752246100769	0.0359376123050385	0	0.0431251347660461	0.0287500898440308	0.0143750449220154	0.0359376123050385	0.158125494142169	0.0718752246100769	0.00718752246100769	0.0143750449220154	0.00718752246100769	0	0.00718752246100769	0.0143750449220154	0.265938331057285	0.323438510745346	0.258750808596277	0.0646877021490692	0.0862502695320923	0.366563645511392	0.201250628908215	0.0287500898440308	0.388126212894415
Bacteria|Acidobacteriota	2.803133759793	2.76719614748796	2.83907137209804	0.567814274419608	0.0862502695320923	0.725939768561777	4.00345001078128	1.75375548048588	1.17156616114425	2.45813268166463	4.77251491410911	2.40782002443758	5.84345576079925	11.226910084094	8.55315172859915	21.5985049953281	4.79407748149213	6.40408251275785	3.32063537698555	2.07000646877021	4.58563933012291	12.1972256163301	9.14971609286279	11.4497232803853	1.76094300294688	0.934377919931	0.955940487314023
Bacteria|Actinobacteriota	19.0900596564364	17.803493135916	19.0828721339754	10.0194063106447	25.8894559045497	21.2175663048947	36.6276144612952	28.5991518723496	23.8697620930065	28.7860274563358	32.1929131028534	27.7869618342557	36.2323007259398	18.9534967296773	16.2078631495723	5.54876733989794	16.5313016603177	23.330697908431	30.3313447854525	29.878530870409	24.1357004240638	44.9148278588371	41.2923165384892	38.1873068353339	27.1760224250701	42.3129447279523	37.1954287357148
Bacteria|Armatimonadota	0.00718752246100769	0.0431251347660461	0.0646877021490692	0	0	0	0.0287500898440308	0.0862502695320923	0	0.230000718752246	0.0718752246100769	0.352188600589377	0.0215625673830231	0.0143750449220154	0.0790627470710846	0	0.0215625673830231	0.0287500898440308	0.0143750449220154	0.0862502695320923	0.0359376123050385	0.00718752246100769	0.00718752246100769	0.00718752246100769	0.158125494142169	0.0215625673830231	0.158125494142169
Bacteria|Bacteroidota	2.01250628908215	2.53719542873572	1.81844318263495	1.42312944727952	2.04844390138719	1.59562998634371	1.3081290879034	1.69625530079781	0.445626392582477	1.84000575001797	1.34406670020844	2.91813411916912	3.72313663480198	8.07877524617264	4.42032631351973	3.4571983037447	5.80033062603321	5.2325163516136	1.95500610939409	1.90469345216704	2.47969524904765	1.57406741896068	2.75282110256595	3.19125997268741	2.20656939552936	2.30000718752246	2.53719542873571
Bacteria|Bdellovibrionota	0.510314094731546	0.301875943362323	0.316250988284338	0.0431251347660461	0.0359376123050385	0.136562926759146	0.0287500898440308	0.0143750449220154	0	0.0503126572270538	0.0575001796880615	0.0503126572270538	0.0503126572270538	0.431251347660461	0.301875943362323	0	0.136562926759146	0.0790627470710846	0.337813555667361	0.150937971681161	0.2803133759793	0.237188241213254	0.330626033206354	0.265938331057285	0.222813196291238	0.0718752246100769	0.301875943362323
Bacteria|Campilobacterota	0	0.0287500898440308	0.0143750449220154	0	0.00718752246100769	0.0215625673830231	0.00718752246100769	0	0.00718752246100769	0.0143750449220154	0	0	0	0	0	0	0	0	0.0143750449220154	0.0143750449220154	0.0143750449220154	0.0143750449220154	0.00718752246100769	0.0215625673830231	0.0143750449220154	0	0.00718752246100769
Bacteria|Chloroflexi	14.4541076690865	11.2628476963991	12.5853518292245	10.7237835118235	15.2734852296413	15.5394235606986	6.13814418170057	5.38345432329476	4.94501545317329	4.90189031840725	6.13814418170057	4.71501473442104	2.30000718752246	2.09156903615324	2.04844390138719	0.625314454107669	1.0278157119241	3.66563645511392	6.24595701861568	7.08689714655358	4.46345144828578	4.40595126859771	6.33220728814778	5.80751814849421	6.77064615826924	3.58657370804284	4.92345288579027
Bacteria|Cyanobacteria	19.0756846115144	23.1797599367498	21.5769424279451	43.9804499389061	23.4672608351901	25.8032056350176	17.0847408898153	22.6550707970962	11.8162869258966	21.6991303097822	21.0163156759865	22.1663192697477	2.41500754689858	2.27125709767843	4.51376410551283	1.9621936318551	1.43031696974053	1.07812836915115	2.65938331057285	4.50657658305182	3.12657227053835	3.70876158987997	4.07532523539136	3.30626033206354	12.2187881837131	5.28282900884065	5.59189247466398
Bacteria|Deinococcota	0.891252785164954	0.395313735355423	1.07094084669015	0.0646877021490692	1.79688061525192	0.359376123050385	1.55250485157766	3.24157262991447	4.58563933012291	1.74656795802487	1.27937899805937	1.54531732911665	0.0359376123050385	0.0431251347660461	0.208438151369223	0.00718752246100769	0.0287500898440308	0.0359376123050385	0.230000718752246	0.230000718752246	0.158125494142169	0.0287500898440308	0.0287500898440308	0.0215625673830231	0.474376482426508	0.833752605476892	0.330626033206354
Bacteria|Dependentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00718752246100769	0	0	0	0	0
Bacteria|Desulfobacterota	0.00718752246100769	0.0143750449220154	0.0215625673830231	0.00718752246100769	0.0215625673830231	0.0143750449220154	0.0646877021490692	0.0143750449220154	0.0359376123050385	0.0143750449220154	0.0143750449220154	0.0359376123050385	0.00718752246100769	0.0503126572270538	0.0143750449220154	0	0	0	0.0215625673830231	0.0143750449220154	0.00718752246100769	0.0646877021490692	0.136562926759146	0.237188241213254	0.0215625673830231	0.0287500898440308	0
Bacteria|Elusimicrobiota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0718752246100769	0.0287500898440308	0	0	0	0
