	QiY201	QiY202	QiY204	QiY205	QiY206	taxonomy
Isatis	0	2	0	0	0	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Isatis
Raphanus	0	0	0	0	5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Brassicales;f__Brassicaceae;g__Raphanus
Calluna	0	0	3	0	0	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Ericaceae;g__Calluna
Dalbergia	0	0	0	0	2	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Dalbergia
Glycine	0	0	0	0	186	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Glycine
Pisum	0	3	0	0	0	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Pisum
Avicennia	12	0	11	6	350	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Acanthaceae;g__Avicennia
Malus	0	13	87	10	144	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Rosaceae;g__Malus
Solanum	0	0	0	3	0	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Solanales;f__Solanaceae;g__Solanum
Panicum	0	0	4	0	0	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Panicum
Zea	0	0	0	0	27	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Zea
Bryum	0	22	4	0	373	k__Viridiplantae;p__Bryophyta;c__Bryopsida;o__Bryales;f__Bryaceae;g__Bryum
Chlorococcum	0	2	2262	9	162	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Chlorococcum
Fasciculochloris	0	10	6	0	0	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Fasciculochloris
Tetracystis	0	0	2	1	3	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Tetracystis
Chlorosarcinopsis	94	6	172	0	0	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorosarcinaceae;g__Chlorosarcinopsis
Choricystis	0	3	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Coccomyxaceae;g__Choricystis
Bracteacoccus	0	8	154	0	0	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Sphaeropleales;f__Bracteacoccaceae;g__Bracteacoccus
Fernandinella	3	17	55	0	0	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Sphaeropleales;f__Characiaceae;g__Fernandinella
Desmodesmus	0	0	1	0	2	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Sphaeropleales;f__Scenedesmaceae;g__Desmodesmus
Pectinodesmus	0	11	11	0	5	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Sphaeropleales;f__Scenedesmaceae;g__Pectinodesmus
Scenedesmus	0	0	0	2	5	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Sphaeropleales;f__Scenedesmaceae;g__Scenedesmus
Tetradesmus	2	21	0	0	11	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Sphaeropleales;f__Scenedesmaceae;g__Tetradesmus
Chlamydomonas	0	0	0	37	16	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Volvocales;f__Chlamydomonadaceae;g__Chlamydomonas
Apatococcus	4	0	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Chlorellales;f__Chlorellaceae;g__Apatococcus
Chlorella	2	324	445	0	3	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Chlorellales;f__Chlorellaceae;g__Chlorella
Nannochloris	0	0	5	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Chlorellales;f__Chlorellaceae;g__Nannochloris
Pseudochlorella	91	117	1	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Chlorellales;f__Koliellaceae;g__Pseudochlorella
Symbiochloris	0	2	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Microthamniales;f__Microthamniales_fam_Incertae_sedis;g__Symbiochloris
Chloroidium	153	19	24	0	6	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Oocystales;f__Oocystaceae;g__Chloroidium
Oocystis	0	0	0	0	1	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Oocystales;f__Oocystaceae;g__Oocystis
Diplosphaera	58	93	29	807	10	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolaceae;g__Diplosphaera
Stichococcus	12185	4	21	4	2	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolaceae;g__Stichococcus
Elliptochloris	0	4	0	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Prasiolales;f__Prasiolales_fam_Incertae_sedis;g__Elliptochloris
Myrmecia	11	36	0	0	21	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiales;f__Trebouxiaceae;g__Myrmecia
Parietochloris	0	0	0	0	6	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiales;f__Trebouxiaceae;g__Parietochloris
Eremochloris	0	7	3	0	1	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiophyceae_ord_Incertae_sedis;f__Trebouxiophyceae_fam_Incertae_sedis;g__Eremochloris
Koliellopsis	3139	29	7	0	0	k__Viridiplantae;p__Chlorophyta;c__Trebouxiophyceae;o__Trebouxiophyceae_ord_Incertae_sedis;f__Trebouxiophyceae_fam_Incertae_sedis;g__Koliellopsis
Desmochloris	2521	212	115	0	2	k__Viridiplantae;p__Chlorophyta;c__Ulvophyceae;o__Ulvophyceae_ord_Incertae_sedis;f__Ulvophyceae_fam_Incertae_sedis;g__Desmochloris
unclassified	7386	4223	21159	20890	7433	unclassified
