Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_1020	0	0	1	0	0	0	11	8	0	5	24	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	uncultured	uncultured	uncultured	cyanobacterium_I_35_MF_cl1
ASV_1021	0	0	0	0	35	5	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides_sp.
ASV_1022	0	0	0	0	0	0	38	30	0	2	0	16	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_bacterium
ASV_1023	6	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	3	6	9	4	2	1	1	2	6	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium
ASV_1024	0	0	0	0	0	0	0	2	0	0	36	0	0	0	0	0	0	1	1	0	2	1	2	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	uncultured	metagenome
ASV_1025	0	2	0	38	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	uncultured_bacterium
ASV_1026	10	7	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	3	0	3	Bacteria	Actinobacteriota	Actinobacteria	Euzebyales	Euzebyaceae	uncultured	uncultured_bacterium
ASV_1027	9	2	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	19	15	2	2	0	0	5	1	13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured_bacterium
ASV_1028	0	0	0	8	35	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	uncultured	uncultured_bacterium
ASV_1029	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	uncultured	uncultured_Oscillatoriales
ASV_103	0	2	0	0	0	0	51	73	70	36	100	26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	uncultured_bacterium
ASV_1030	0	0	0	0	0	0	0	0	0	0	0	0	0	1	79	28	27	6	9	9	18	5	1	2	1	0	0	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	uncultured_bacterium
ASV_1031	0	0	0	0	0	0	16	10	0	13	1	21	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_bacterium
ASV_1032	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	0	0	14	0	0	0	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	uncultured_delta
ASV_1033	0	0	5	8	26	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	MN_122.2a	uncultured_bacterium
ASV_1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	5	10	0	0	0	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_bacterium
ASV_1035	0	0	0	40	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	YC-ZSS-LKJ147	uncultured_bacterium
ASV_1036	0	0	0	0	0	0	11	10	3	13	0	14	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV_1037	0	0	0	0	0	0	0	5	7	12	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	unknown
ASV_1038	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	3	1	1	1	4	10	11	16	0	3	0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	uncultured_bacterium
ASV_1039	0	1	0	0	0	0	0	0	0	0	0	0	0	18	135	5	10	13	9	13	9	1	1	2	5	0	1	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	uncultured_bacterium
ASV_104	0	4	2	0	0	0	4	5	17	6	1	6	0	42	7	2	54	35	21	28	62	4	1	4	8	19	175	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_sp.
ASV_1040	3	3	0	1	1	2	0	0	1	0	1	0	0	10	0	0	0	0	0	0	0	12	13	19	0	0	0	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_bacterium
ASV_1041	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	77	4	23	13	0	1	0	11	2	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV_1042	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2	17	16	18	2	0	1	0	0	0	5	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Spirilliplanes	uncultured_bacterium
ASV_1043	0	0	0	0	0	0	3	1	1	0	7	10	0	0	1	0	0	0	0	0	0	12	15	5	1	0	0	Bacteria	Actinobacteriota	Actinobacteria	unknown	unknown	unknown	unknown
ASV_1044	7	12	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	4	0	0	0	3	4	2	4	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_bacterium
ASV_1045	0	2	0	0	0	0	0	0	8	0	26	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured	unknown
ASV_1046	0	0	0	7	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured_bacterium
ASV_1047	0	0	0	0	0	0	2	13	3	20	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Marisediminicola	uncultured_bacterium
ASV_1048	22	15	32	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	5	2	0	0	1	1	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	uncultured	uncultured	uncultured	uncultured_cyanobacterium
ASV_1049	3	0	4	0	0	0	0	0	0	0	0	0	0	3	2	0	0	2	10	9	5	0	0	0	16	4	8	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	uncultured_actinobacterium
ASV_105	9	10	3	0	0	0	6	3	2	7	3	1	121	12	24	1	22	35	85	18	26	68	85	60	0	29	6	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Spirilliplanes	uncultured_bacterium
ASV_1050	4	12	15	6	5	10	2	2	2	1	2	5	0	0	0	0	0	0	29	2	4	2	0	9	0	6	0	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Scopulibacillus	Scopulibacillus_sp.
ASV_1051	7	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	12	1	11	0	4	0	0	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	uncultured_Kofleria
ASV_1052	2	3	2	2	1	0	0	0	0	0	34	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	uncultured_bacterium
ASV_1053	1	1	4	3	5	9	0	0	0	2	1	0	2	0	2	0	0	0	9	15	1	0	2	0	3	0	4	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	uncultured_bacterium
ASV_1054	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	38	1	1	0	0	0	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_Acidobacteria
ASV_1055	0	0	0	0	0	0	16	26	1	7	1	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	uncultured_bacterium
ASV_1056	0	0	0	0	0	0	0	6	32	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured	uncultured_bacterium
ASV_1057	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	MN_122.2a	uncultured_bacterium
ASV_1058	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	15	9	9	0	0	1	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_1059	1	0	0	0	0	0	0	0	0	0	0	0	5	2	1	0	1	1	0	1	1	0	0	0	32	3	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	uncultured_bacterium
ASV_106	102	18	35	0	0	0	0	0	2	0	7	0	1	5	14	0	0	31	26	13	26	28	29	31	20	5	54	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	uncultured_bacterium
ASV_1060	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	14	13	8	0	0	0	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_bacterium
ASV_1061	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	656	0	0	1	10	2	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia_sp.
ASV_1062	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	2	8	23	14	4	5	0	1	1	23	4	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2	D05-2	uncultured_bacterium
ASV_1063	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	31	1	17	1	0	0	0	0	0	40	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	uncultured_bacterium
ASV_1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	17	2	0	0	0	0	4	2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis	uncultured_bacterium
ASV_1065	14	12	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	7	2	1	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_bacterium
ASV_1066	4	2	3	0	1	0	0	0	0	0	0	0	0	6	1	0	0	7	16	22	0	5	12	11	0	0	1	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_bacterium
ASV_1067	0	0	0	1	0	0	0	0	0	0	0	1	2	1	1	0	1	0	1	1	1	14	21	11	0	0	0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured_Nitrospiraceae
ASV_1068	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_bacterium
ASV_107	1	5	2	2	22	5	0	0	0	1	0	1	1	1	8	1	6	6	2	3	5	0	1	1	37	192	46	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_sp.
ASV_1070	2	7	1	1	0	0	1	2	2	2	2	1	4	1	1	0	1	2	0	0	6	0	0	0	8	4	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	uncultured_Alphaproteobacteria
ASV_1071	0	3	5	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	8	22	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Rhizobium_sp.
ASV_1072	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	6	8	0	0	1	1	5	13	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	uncultured_bacterium
ASV_1073	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	1	1	16	7	6	0	13	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium
ASV_1074	4	15	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	7	0	4	0	1	2	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_1075	0	4	5	0	1	1	0	0	0	0	0	0	0	4	4	1	3	9	13	10	6	1	7	2	5	4	11	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	uncultured_bacterium
ASV_1076	1	1	3	0	0	0	0	9	3	6	10	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_1077	0	0	0	0	0	0	0	8	4	18	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_Chloroflexi
ASV_1078	0	1	0	0	0	0	1	2	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	20	5	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides_aquaticus
ASV_1079	0	0	1	0	0	0	11	14	0	14	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides_lentus
ASV_108	2	10	5	0	0	0	3	13	5	10	1	10	3	18	18	0	32	48	8	26	75	1	2	0	58	61	60	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV_1080	6	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	4	3	7	6	2	8	11	4	2	2	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_1081	0	1	0	0	0	0	4	1	0	9	0	3	3	1	0	0	0	0	0	0	0	6	8	9	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_1082	9	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	10	1	0	4	4	2	1	15	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781	uncultured_bacterium
ASV_1083	0	2	24	0	1	15	0	0	0	0	23	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV_1084	0	0	0	0	0	0	0	7	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_bacterium
ASV_1085	0	0	0	0	0	0	0	1	43	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_1086	2	2	12	5	1	24	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722	AKYG1722	uncultured_Sphaerobacteraceae
ASV_1087	4	3	3	4	0	3	0	1	0	1	5	0	2	0	3	0	0	2	1	1	1	0	1	0	6	0	3	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_Incertae_Sedis	Unknown_Family	uncultured	uncultured_bacterium
ASV_1088	0	1	0	1	0	0	1	0	0	1	0	0	0	0	3	0	0	3	0	3	4	8	4	4	3	3	8	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Spirilliplanes	uncultured_bacterium
ASV_1089	6	0	23	0	0	16	0	0	0	1	8	0	0	0	0	0	0	0	0	1	0	0	0	0	5	2	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	uncultured	uncultured_bacterium
ASV_109	0	0	19	8	220	36	7	9	0	7	3	5	8	5	2	1	1	2	0	4	2	3	2	1	0	17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unknown	unknown
ASV_1090	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	9	21	11	1	0	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Haloactinopolyspora	uncultured_bacterium
