Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_21	230	100	148	0	0	0	0	0	0	0	2	0	0	1	35	0	0	6	31	66	98	2	1	0	319	51	154	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1	uncultured_bacterium
ASV_210	4	5	4	7	1	0	37	21	5	23	1	37	1	3	9	0	0	1	5	11	9	5	12	2	26	32	11	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	metagenome
ASV_2100	1	4	3	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	5	0	3	2	3	2	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	Craurococcus_roseus
ASV_2101	1	21	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	uncultured	uncultured_bacterium
ASV_2102	3	8	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_bacterium
ASV_2103	6	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_bacterium
ASV_2104	8	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	14	2	0	0	1	7	2	1	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_bacterium
ASV_2105	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	2	0	0	4	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	unknown
ASV_2106	1	3	1	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	1	1	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	uncultured_bacterium
ASV_2107	7	2	3	0	0	0	0	0	2	0	3	0	0	0	1	0	0	1	0	1	1	2	0	2	0	0	2	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Crossiella	uncultured_bacterium
ASV_2108	0	0	0	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes_ianthinogenes
ASV_2109	3	1	5	0	0	0	0	0	4	0	2	0	0	1	0	0	0	1	3	4	3	0	0	0	3	0	1	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	uncultured_Acidobacteria
ASV_211	1	0	1	1	2	1	35	37	1	55	10	78	10	10	3	0	3	2	0	5	4	3	0	2	3	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	uncultured	uncultured_Alphaproteobacteria
ASV_2110	0	0	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	uncultured	unknown
ASV_2111	5	4	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	1	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia_sp.
ASV_2112	0	0	1	0	0	0	1	1	8	1	7	0	0	0	1	0	0	0	1	0	1	2	1	0	0	0	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	uncultured_bacterium
ASV_2113	0	1	0	0	0	0	4	2	0	1	0	6	1	1	1	0	0	1	0	2	2	2	0	0	1	0	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides_sp.
ASV_2114	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	Tepidisphaera_mucosa
ASV_2115	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	5	3	0	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	metagenome
ASV_2116	13	2	23	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	3	0	2	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_bacterium
ASV_2117	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	uncultured_bacterium
ASV_2118	0	0	0	11	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	unknown	unknown
ASV_2119	0	0	2	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Euzebyales	Euzebyaceae	Euzebya	uncultured_bacterium
ASV_212	4	6	1	0	0	0	3	2	0	3	11	4	1	47	20	1	21	14	3	3	8	59	47	63	1	1	9	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	uncultured_bacterium
ASV_2120	0	0	0	0	0	0	27	8	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	uncultured_bacterium
ASV_2121	0	0	0	0	0	0	4	4	0	4	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured_bacterium
ASV_2122	0	0	0	0	0	0	13	10	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus_Alysiosphaera	uncultured_bacterium
ASV_2123	0	0	0	0	0	0	7	4	3	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	uncultured	unknown
ASV_2124	0	0	0	0	0	0	6	6	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	unknown
ASV_2125	0	0	0	0	0	0	7	4	0	6	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781	uncultured_bacterium
ASV_2126	0	0	0	0	0	0	17	10	0	4	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	uncultured_bacterium
ASV_2127	0	0	0	0	0	0	1	4	0	6	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma_endophyticum
ASV_2128	0	0	0	0	0	0	1	2	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured_bacterium
ASV_2129	0	0	1	0	0	0	0	2	3	6	1	1	0	0	0	0	0	2	2	0	0	0	0	0	2	2	0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora_sp.
ASV_213	10	4	7	2	1	0	4	4	1	18	5	36	3	6	12	0	5	2	4	4	10	0	1	1	45	24	33	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	uncultured_bacterium
ASV_2130	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	5	2	5	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	Craurococcus_sp.
ASV_2131	0	0	0	0	0	0	0	0	0	17	0	2	22	1	2	1	0	0	10	0	0	0	3	0	0	1	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_aryabhattai
ASV_2132	0	0	0	9	0	0	0	0	0	0	0	1	31	2	0	0	1	0	2	8	1	0	1	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_bacterium
ASV_2133	0	0	0	0	0	0	6	5	4	3	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	uncultured_forest
ASV_2134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	14	7	8	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_Rubrobacteria
ASV_2135	0	2	0	0	0	0	0	0	0	0	1	0	0	7	6	0	2	11	4	5	3	3	4	7	0	1	0	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_2136	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	306	2	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	uncultured_bacterium
ASV_2137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	1	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	uncultured_Oxalobacteraceae
ASV_2138	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	5	6	6	0	1	0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	uncultured_bacterium
ASV_2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	7	9	0	0	0	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_bacterium
ASV_214	6	7	4	0	0	0	0	0	124	3	6	2	0	0	0	0	0	0	11	8	9	0	3	1	8	10	7	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	Acetobacteraceae_bacterium
ASV_2140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	10	10	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	uncultured	uncultured_bacterium
ASV_2141	1	0	0	0	0	0	1	3	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus_Alysiosphaera	uncultured_Alphaproteobacteria
ASV_2142	13	6	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	3	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	unknown
ASV_2143	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	3	11	5	0	0	0	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium
ASV_2144	1	1	0	3	3	0	8	0	0	3	2	2	0	0	0	0	0	0	5	8	1	6	1	2	3	2	0	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Kroppenstedtia	Kroppenstedtia_eburnea
ASV_2145	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	3	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	uncultured_Pseudonocardia
ASV_2146	1	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	5	0	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2	D05-2	uncultured_bacterium
ASV_2147	0	0	0	0	0	0	2	3	0	3	1	0	0	0	0	1	0	0	0	0	0	3	1	9	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	unknown	unknown	unknown	unknown
ASV_2148	0	1	1	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781	uncultured_bacterium
ASV_2149	0	0	6	0	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Euzebyales	Euzebyaceae	uncultured	unknown
ASV_215	0	0	0	0	0	0	61	55	0	65	10	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	cyanobacterium_OU_20
ASV_2150	2	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	uncultured	uncultured_bacterium
ASV_2151	0	2	1	0	0	0	0	0	0	0	0	0	31	0	2	0	0	4	16	1	0	1	2	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	uncultured	uncultured_Bacteroidetes
ASV_2152	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	1	6	4	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	uncultured_bacterium
ASV_2154	0	0	0	0	0	0	2	0	0	2	0	6	0	1	0	0	1	0	0	0	0	7	5	1	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured_bacterium
ASV_2155	0	0	0	0	0	0	9	3	0	4	3	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium
ASV_2156	0	1	0	0	0	0	0	5	2	4	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured	uncultured_bacterium
ASV_2157	0	0	2	0	0	0	0	3	0	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Leptolyngbya_VRUC_135	uncultured_bacterium
ASV_2158	0	0	0	0	0	0	0	0	5	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured_bacterium
ASV_2159	0	0	0	0	0	0	4	8	0	1	4	2	0	0	0	0	0	2	2	3	0	1	4	0	0	1	1	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	Parviterribacter_multiflagellatus
ASV_216	0	0	0	11	79	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	uncultured_bacterium
ASV_2160	0	0	0	0	0	0	1	0	0	1	0	4	4	0	0	0	0	3	0	3	2	3	5	9	0	1	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_2161	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	1	0	5	7	6	2	0	4	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	Actinomycetospora_sp.
ASV_2162	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	2	6	0	0	0	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium
ASV_2163	0	0	0	0	0	0	6	4	2	3	0	6	7	1	1	0	2	0	0	0	0	0	0	0	0	2	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured_actinobacterium
ASV_2164	0	2	0	0	0	0	1	0	0	3	0	1	5	1	1	0	2	0	11	6	1	0	0	0	2	0	0	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured_bacterium
ASV_2165	0	0	0	0	0	0	2	0	0	0	0	2	1	0	1	0	0	1	1	4	1	5	1	2	3	3	0	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781	uncultured_bacterium
ASV_2166	4	2	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	3	0	8	3	2	0	2	0	2	2	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes_sichuanensis
ASV_2167	0	0	0	0	0	0	0	0	0	0	0	0	4	18	9	0	8	31	1	0	0	1	4	0	3	1	6	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	uncultured_bacterium
ASV_2168	0	0	0	1	0	0	4	4	1	0	1	1	4	1	0	0	0	1	0	0	0	2	5	1	0	0	0	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	uncultured_bacterium
ASV_2169	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	9	1	5	5	0	0	0	1	2	4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	bacterium_B0089
ASV_217	12	3	14	0	0	0	3	0	0	2	1	0	3	4	8	0	1	4	50	10	5	34	31	15	23	19	25	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	uncultured_bacterium
ASV_2170	0	3	0	0	0	0	0	0	0	0	0	1	0	0	3	0	48	1	1	5	3	0	0	0	0	2	0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Caulobacteraceae_bacterium
ASV_2171	1	0	0	1	0	0	0	1	0	0	0	0	0	0	9	0	0	18	3	5	9	1	2	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV_2172	9	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	Bacteria	Actinobacteriota	Actinobacteria	Euzebyales	Euzebyaceae	uncultured	uncultured_bacterium
ASV_2173	1	0	0	0	0	0	6	3	0	0	1	0	1	1	0	0	0	0	0	0	1	4	2	9	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured	uncultured_bacterium
ASV_2174	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	11	2	0	1	1	10	2	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	uncultured_bacterium
ASV_2175	0	0	0	2	3	0	1	1	0	2	0	5	0	0	0	1	35	1	1	0	3	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	unknown
ASV_2176	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	2	3	2	7	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	uncultured_bacterium
ASV_2177	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	12	0	0	0	0	6	1	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	uncultured_Gemmatimonas
ASV_2178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	20	0	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	uncultured_bacterium
ASV_2179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	18	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	uncultured_bacterium
ASV_218	1	5	2	0	0	0	0	1	10	1	1	0	0	0	4	0	0	1	2	11	5	0	0	0	141	15	28	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	uncultured_bacterium
ASV_2180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	5	0	0	0	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured_bacterium
ASV_2181	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	2	2	6	0	4	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_bacterium
ASV_2182	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	8	1	0	0	2	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
ASV_2183	4	2	0	0	1	2	1	2	1	3	3	2	0	0	0	0	0	0	0	0	0	1	5	3	3	0	0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_Clostridiales
ASV_2184	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	1	2	7	2	3	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_bacterium
ASV_2185	2	0	0	0	0	0	2	0	0	3	1	7	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	Blastococcus_colisei
ASV_2186	1	2	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	1	0	1	0	0	0	3	1	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	metagenome
ASV_2187	1	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	4	5	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia	Klenkia_terrae
ASV_2188	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	4	3	4	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_2189	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	9	0	2	0	3	6	0	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	unknown
ASV_219	4	7	4	6	0	0	34	28	7	22	9	54	5	6	11	0	5	7	7	12	8	3	5	7	6	6	3	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides_sp.
ASV_2190	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	uncultured_bacterium
ASV_2191	0	1	0	0	0	0	0	0	13	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured_bacterium
ASV_2192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	20	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaeraceae	uncultured_bacterium
ASV_2193	1	4	0	0	0	13	3	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	2	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_kokeshiiformis
ASV_2194	0	0	0	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_planctomycete
ASV_2195	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722	AKYG1722	uncultured_Sphaerobacteraceae
ASV_2196	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Longimicrobium	uncultured_bacterium
ASV_2197	0	0	0	0	0	0	5	9	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	unknown	unknown
ASV_2198	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	5	4	4	2	1	3	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium
ASV_2199	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	uncultured_bacterium
ASV_22	79	217	89	137	142	276	2	3	5	1	0	0	0	0	2	0	0	0	1	13	5	1	1	0	9	7	4	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	unknown	unknown
ASV_220	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	21	79	89	0	0	1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unknown	unknown
ASV_2200	0	2	0	0	0	0	1	0	0	0	0	1	7	0	0	0	0	0	0	0	2	5	3	4	0	4	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_2201	0	0	0	0	0	0	0	0	0	0	4	0	8	0	2	0	1	0	3	1	7	3	1	2	2	0	0	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	unknown
