,CK_1,CK_2,CK_3,CK_4,CK_5,CK_6,Bla_1,Bla_2,Bla_3,Bla_4,Bla_5,Bla_6,Gre_1,Gre_2,Gre_3,Gre_4,Gre_5,Gre_6,Gre_7,Gre_8,Whi_1,Whi_2,Whi_3,Whi_4,Whi_5,Whi_6,Whi_7
Ascomycota,67.24,73.07,91.34,76,85.25,68.3,63.63,70.71,54.04,91.5,96.59,90.75,96.01,95.57,98.15,93.84,97.37,98.03,81.86,96.42,89.9,59.8,83.98,91.64,83.88,79.4,82.04
unassigned,32.53,26.7,8.56,23.73,14.63,31.25,34.79,27.92,45.05,1.08,2.87,6.86,2,2.91,0.95,2.45,1.69,1.47,15.27,1.23,4.26,11.48,5.27,1.43,6.46,16.82,11.33
Basidiomycota,0.12,0.17,0.09,0.23,0.07,0.17,0.18,0.11,0.12,1.76,0.21,1.12,0.52,0.39,0.3,3.31,0.12,0.34,1.58,1.28,0.2,24.92,0.67,2.09,8.59,3.54,1.97
Fungi_phy_Incertae_sedis,0.03,0.04,0,0.01,0.04,0.26,0.36,0.34,0.17,1.31,0.08,0.14,1.36,1.02,0.53,0.31,0.19,0.07,1.3,1.03,5.52,3.76,9.97,1.01,1.06,0.23,4.6
Chytridiomycota,0.01,0,0.01,0.01,0.01,0,1.02,0.89,0.57,4.1,0.2,1.1,0.06,0.02,0.05,0.05,0.12,0.06,0,0.04,0.1,0.01,0.08,0,0.01,0.01,0.05
Mortierellomycota,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.01,0.5,0.01,0,0,0,0,0,3.83,0,0,0.01
Aphelidiomycota,0.06,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.06,0.02,0.04,0.02,0.06,0.09,0.01,0.02,0.01,0.02,0,0,0.01,0.03,0.02,0,0,0,0
Others,0,0,0,0,0,0,0,0.01,0,0.12,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
